2022-10-19 18:32:07.702 | WARNING  | __main__:handle:71 - 用户(id)：wayne_999(1317379638)|查询命令：1|命令执行有误
2022-10-19 18:32:23.173 | INFO     | __main__:handle:60 - 用户(id)：wayne_999(1317379638)|查询命令：redis-cli 28q 0 keys *user_new_level_hash*
2022-10-19 18:32:54.193 | INFO     | __main__:handle:60 - 用户(id)：wayne_999(1317379638)|查询命令：redis-cli 28q 0 keys *user_new_level_hash*
2022-10-20 00:28:48.997 | INFO     | __main__:handle:60 - 用户(id)：shooter_single(5318569296)|查询命令：redis-cli ng 7 keys *init_count_user_daily_lock*
2022-10-20 00:46:08.310 | INFO     | __main__:handle:60 - 用户(id)：shooter_single(5318569296)|查询命令：redis-cli ng 7 keys *report_count_daily_uid_key*
2022-10-20 00:46:48.488 | INFO     | __main__:handle:60 - 用户(id)：shooter_single(5318569296)|查询命令：redis-cli ng 7 keys *report_count_daily_key*
2022-10-20 00:47:02.302 | INFO     | __main__:handle:60 - 用户(id)：shooter_single(5318569296)|查询命令：redis-cli ng 7 keys *report_count_daily_gid_date_key*
2022-10-20 00:47:10.456 | INFO     | __main__:handle:60 - 用户(id)：shooter_single(5318569296)|查询命令：redis-cli ng 7 keys *report_count_gid_daily_key*
2022-10-20 00:47:42.337 | INFO     | __main__:handle:60 - 用户(id)：shooter_single(5318569296)|查询命令：redis-cli ng 7 keys *report_count_daily_key*
2022-10-20 00:50:16.554 | INFO     | __main__:handle:60 - 用户(id)：shooter_single(5318569296)|查询命令：redis-cli ng 7 keys *report_count_daily_key*
2022-10-20 00:50:28.923 | INFO     | __main__:handle:60 - 用户(id)：shooter_single(5318569296)|查询命令：redis-cli ng 7 keys *report_count_daily_uid_key*
2022-10-20 00:50:37.837 | INFO     | __main__:handle:60 - 用户(id)：shooter_single(5318569296)|查询命令：redis-cli ng 7 keys *report_count_daily_gid_date_key*
2022-10-20 01:21:42.019 | INFO     | __main__:handle:60 - 用户(id)：shooter_single(5318569296)|查询命令：redis-cli c7 0 keys *usdt_send_message_list*
2022-10-20 01:22:13.867 | WARNING  | __main__:handle:71 - 用户(id)：shooter_single(5318569296)|查询命令：redis-cli c7 0 rpop serviceusdt_send_message_list|命令执行有误
2022-10-20 01:22:42.413 | INFO     | __main__:handle:60 - 用户(id)：shooter_single(5318569296)|查询命令：redis-cli c7 0 scard serviceusdt_send_message_list
2022-10-20 01:26:01.826 | WARNING  | __main__:handle:71 - 用户(id)：tony_hy(2132138283)|查询命令：redis_cli c7 1 keys *usdt_send_message_list*|命令执行有误
2022-10-20 01:26:18.678 | INFO     | __main__:handle:60 - 用户(id)：tony_hy(2132138283)|查询命令：redis-cli c7 1 keys *usdt_send_message_list*
2022-10-20 01:27:53.272 | INFO     | __main__:handle:60 - 用户(id)：shooter_single(5318569296)|查询命令：redis-cli c7 1 keys *usdt_send_message_list*
2022-10-20 01:28:07.924 | INFO     | __main__:handle:60 - 用户(id)：tony_hy(2132138283)|查询命令：redis-cli c7 1 keys 7cservice_*
2022-10-20 01:41:14.119 | INFO     | __main__:handle:60 - 用户(id)：shooter_single(5318569296)|查询命令：redis-cli ng 7 keys *count_user_daily_config*
2022-10-20 01:41:32.722 | INFO     | __main__:handle:60 - 用户(id)：shooter_single(5318569296)|查询命令：redis-cli ng 7 hgetall ngservice_count_user_daily_config
2022-10-20 01:41:58.932 | INFO     | __main__:handle:60 - 用户(id)：shooter_single(5318569296)|查询命令：redis-cli ng 7 hgetall ngservice_count_user_daily_config
2022-10-20 01:42:37.315 | INFO     | __main__:handle:60 - 用户(id)：shooter_single(5318569296)|查询命令：redis-cli ng 7 hgetall ngservice_count_user_daily_config
2022-10-20 01:44:42.530 | INFO     | __main__:handle:60 - 用户(id)：shooter_single(5318569296)|查询命令：redis-cli ng 7 hgetall ngservice_count_user_daily_config
2022-10-20 01:50:02.885 | INFO     | __main__:handle:60 - 用户(id)：shooter_single(5318569296)|查询命令：redis-cli ng 7 hgetall ngservice_count_user_daily_config
2022-10-20 01:56:21.442 | INFO     | __main__:handle:60 - 用户(id)：shooter_single(5318569296)|查询命令：redis-cli ng 7 hgetall ngservice_count_user_daily_config
2022-10-20 02:04:14.006 | INFO     | __main__:handle:60 - 用户(id)：shooter_single(5318569296)|查询命令：redis-cli ng 7 hgetall ngservice_count_user_daily_config
2022-10-20 02:09:03.624 | WARNING  | __main__:handle:71 - 用户(id)：shooter_single(5318569296)|查询命令：edis-cli ng 7 keys *game_list_id*|命令执行有误
2022-10-20 02:09:10.889 | INFO     | __main__:handle:60 - 用户(id)：shooter_single(5318569296)|查询命令：redis-cli ng 7 keys *game_list_id*
2022-10-20 02:09:27.073 | INFO     | __main__:handle:60 - 用户(id)：shooter_single(5318569296)|查询命令：redis-cli ng 7 hgetall ngservice_game_list_id:1
2022-10-20 18:58:36.922 | INFO     | __main__:handle:60 - 用户(id)：tony_hy(2132138283)|查询命令：redis-cli c7 14 keys *report_user_daily_lock*
2022-10-20 21:07:39.895 | INFO     | __main__:handle:60 - 用户(id)：tony_hy(2132138283)|查询命令：redis-cli ng 0 keys *invite_charge_back_*
2022-10-22 15:45:04.643 | INFO     | __main__:handle:60 - 用户(id)：bell_941(2141838381)|查询命令：redis-cli wd 0 keys *'ThirdRuntime:get_bill_replenish:*
2022-10-22 15:48:59.912 | INFO     | __main__:handle:60 - 用户(id)：bell_941(2141838381)|查询命令：redis-cli wd 0 keys *get_bill_replenish*
2022-10-22 15:49:20.481 | INFO     | __main__:handle:60 - 用户(id)：bell_941(2141838381)|查询命令：redis-cli wd 0 keys *get_bill_replenish*
2022-10-22 15:49:33.464 | INFO     | __main__:handle:60 - 用户(id)：bell_941(2141838381)|查询命令：redis-cli wd 0 keys *get_bill_replenish*
2022-10-22 15:50:50.339 | INFO     | __main__:handle:60 - 用户(id)：bell_941(2141838381)|查询命令：redis-cli wd 0 keys *get_bill_replenish*
2022-10-22 15:51:03.554 | INFO     | __main__:handle:60 - 用户(id)：bell_941(2141838381)|查询命令：redis-cli wd 0 keys *get_bill_replenish*
2022-10-22 15:51:25.421 | INFO     | __main__:handle:60 - 用户(id)：bell_941(2141838381)|查询命令：redis-cli wd 0 keys *get_bill_replenish*
2022-10-22 15:51:51.582 | INFO     | __main__:handle:60 - 用户(id)：bell_941(2141838381)|查询命令：redis-cli wd 0 keys *get_bill_replenish*
2022-10-22 15:51:57.683 | INFO     | __main__:handle:60 - 用户(id)：bell_941(2141838381)|查询命令：redis-cli wd 0 keys *get_bill_replenish*
2022-10-22 15:52:02.282 | INFO     | __main__:handle:60 - 用户(id)：bell_941(2141838381)|查询命令：redis-cli wd 0 keys *get_bill_replenish*
2022-10-22 15:53:16.588 | INFO     | __main__:handle:60 - 用户(id)：bell_941(2141838381)|查询命令：redis-cli wd 0 keys *get_bill_replenish*
2022-10-22 15:53:59.968 | INFO     | __main__:handle:60 - 用户(id)：bell_941(2141838381)|查询命令：redis-cli wd 0 keys *get_bill_replenish*
2022-10-22 16:00:20.002 | INFO     | __main__:handle:60 - 用户(id)：taskcc(1778785954)|查询命令：redis-cli ng 0 hget ngapp_agent_qr_code_url 183180
2022-10-22 16:07:19.634 | INFO     | __main__:handle:60 - 用户(id)：bell_941(2141838381)|查询命令：redis-cli wd 0 keys *get_bill_replenish*
2022-10-22 16:08:10.882 | INFO     | __main__:handle:60 - 用户(id)：bell_941(2141838381)|查询命令：redis-cli wd 0 keys *get_bill_replenish*
2022-10-22 16:24:02.667 | INFO     | __main__:handle:60 - 用户(id)：taskcc(1778785954)|查询命令：redis-cli ng 0 hget ngapp_agent_qr_code_url 785103
2022-10-22 16:46:17.336 | INFO     | __main__:handle:60 - 用户(id)：taskcc(1778785954)|查询命令：redis-cli ng 0 hget ngapp_agent_qr_code_url 183180
2022-10-22 16:46:43.465 | INFO     | __main__:handle:60 - 用户(id)：taskcc(1778785954)|查询命令：redis-cli ng 0 hget ngapp_allwin_qr_code_url 183180
2022-10-22 16:51:09.580 | INFO     | __main__:handle:60 - 用户(id)：taskcc(1778785954)|查询命令：redis-cli ng 0 hget ngapp_allwin_qr_code_url 785103
2022-10-22 17:22:03.731 | INFO     | __main__:handle:60 - 用户(id)：taskcc(1778785954)|查询命令：redis-cli ng 0 hget ngapp_allwin_qr_code_url 183180
2022-10-25 13:26:41.041 | INFO     | __main__:handle:60 - 用户(id)：bell_941(2141838381)|查询命令：redis-cli c7 14 keys *report_user_daily_lock*
2022-10-27 00:10:39.783 | INFO     | __main__:handle:60 - 用户(id)：MichaelHe_1(5347998164)|查询命令：redis-cli 28q 0 keys *calc_all_percentage*
2022-10-28 17:20:21.259 | INFO     | __main__:handle:60 - 用户(id)：shooter_single(5318569296)|查询命令：redis-cli  c7 1 keys *api_repeat_validate_errors_ban_ipaddress*
2022-10-28 17:20:34.380 | INFO     | __main__:handle:60 - 用户(id)：shooter_single(5318569296)|查询命令：redis-cli  c7 1 get 7capp_api_repeat_validate_errors_ban_ipaddress
2022-10-30 00:25:39.585 | WARNING  | __main__:handle:71 - 用户(id)：MichaelHe_1(5347998164)|查询命令：2|命令执行有误
2022-10-30 00:26:06.243 | INFO     | __main__:handle:60 - 用户(id)：MichaelHe_1(5347998164)|查询命令：redis-cli wd 0 keys home_page_cache_2022-10-29
2022-10-30 00:26:29.311 | INFO     | __main__:handle:60 - 用户(id)：MichaelHe_1(5347998164)|查询命令：redis-cli wd 0 hget home_page_cache_2022-10-29 active_cnt_yesterday
2022-10-30 00:26:56.313 | INFO     | __main__:handle:60 - 用户(id)：MichaelHe_1(5347998164)|查询命令：redis-cli wd 0 hget home_page_cache_2022-10-29 recharge_yesterday
2022-10-31 18:50:24.236 | INFO     | __main__:handle:60 - 用户(id)：MichaelHe_1(5347998164)|查询命令：redis-cli 28q 0 keys  *ReportKeys*
2022-10-31 18:53:30.789 | INFO     | __main__:handle:60 - 用户(id)：MichaelHe_1(5347998164)|查询命令：redis-cli 28q 0 keys  *ReportKeys*
2022-11-01 17:33:45.536 | INFO     | __main__:handle:60 - 用户(id)：MichaelHe_1(5347998164)|查询命令：redis-cli 28q 0 keys  *ReportKeys*
2022-11-01 18:06:28.489 | INFO     | __main__:handle:60 - 用户(id)：MichaelHe_1(5347998164)|查询命令：redis-cli 28q 0 keys  *ReportKeys*
2022-11-01 18:12:20.668 | INFO     | __main__:handle:60 - 用户(id)：MichaelHe_1(5347998164)|查询命令：redis-cli 28q 0 keys  *ReportKeys*
2022-11-01 18:13:47.498 | INFO     | __main__:handle:60 - 用户(id)：MichaelHe_1(5347998164)|查询命令：redis-cli 28q 0 keys  *ReportKeys*
2022-11-01 18:18:08.854 | INFO     | __main__:handle:60 - 用户(id)：MichaelHe_1(5347998164)|查询命令：redis-cli 28q 0 keys  *ReportKeys*
2022-11-01 18:18:34.710 | INFO     | __main__:handle:60 - 用户(id)：MichaelHe_1(5347998164)|查询命令：redis-cli 28q 0 keys  *ReportKeys*、
2022-11-01 18:18:42.121 | INFO     | __main__:handle:60 - 用户(id)：MichaelHe_1(5347998164)|查询命令：redis-cli 28q 0 keys  *ReportKeys*
2022-11-01 19:29:42.287 | INFO     | __main__:handle:60 - 用户(id)：MichaelHe_1(5347998164)|查询命令：redis-cli 28q 0 keys  *ReportKeys*
2022-11-02 14:51:06.365 | INFO     | __main__:handle:60 - 用户(id)：MichaelHe_1(5347998164)|查询命令：redis-cli 28q 0 keys  *ReportKeys*
2022-11-02 15:25:37.551 | INFO     | __main__:handle:60 - 用户(id)：MichaelHe_1(5347998164)|查询命令：redis-cli 28q 0 keys  *ReportKeys*
2022-11-02 15:50:42.639 | INFO     | __main__:handle:60 - 用户(id)：bell_941(2141838381)|查询命令：redis-cli ng 0 keys *ThirdRuntime:get_bill_replenish:*
2022-11-02 15:50:58.300 | INFO     | __main__:handle:60 - 用户(id)：bell_941(2141838381)|查询命令：redis-cli ng 0 get ngadmin_ThirdRuntime:get_bill_replenish:PG
2022-11-02 16:04:11.230 | INFO     | __main__:handle:60 - 用户(id)：MichaelHe_1(5347998164)|查询命令：redis-cli 28q 0 keys  *ReportKeys*
2022-11-02 16:07:03.420 | INFO     | __main__:handle:60 - 用户(id)：MichaelHe_1(5347998164)|查询命令：redis-cli 28q 0 keys  *ReportKeys*
2022-11-02 17:46:06.994 | INFO     | __main__:handle:60 - 用户(id)：bell_941(2141838381)|查询命令：redis-cli ng 0 get ngadmin_ThirdRuntime:get_bill_replenish:PG
2022-11-02 17:46:34.171 | INFO     | __main__:handle:60 - 用户(id)：bell_941(2141838381)|查询命令：redis-cli ng 0 get ngadmin_ThirdRuntime:get_bill_replenish:PG
2022-11-02 17:46:52.153 | INFO     | __main__:handle:60 - 用户(id)：bell_941(2141838381)|查询命令：redis-cli ng 0 get ngadmin_ThirdRuntime:get_bill_replenish:PG
2022-11-02 17:46:54.056 | INFO     | __main__:handle:60 - 用户(id)：bell_941(2141838381)|查询命令：redis-cli ng 0 get ngadmin_ThirdRuntime:get_bill_replenish:PG
2022-11-02 17:46:55.466 | INFO     | __main__:handle:60 - 用户(id)：bell_941(2141838381)|查询命令：redis-cli ng 0 get ngadmin_ThirdRuntime:get_bill_replenish:PG
2022-11-02 17:46:56.476 | INFO     | __main__:handle:60 - 用户(id)：bell_941(2141838381)|查询命令：redis-cli ng 0 get ngadmin_ThirdRuntime:get_bill_replenish:PG
2022-11-02 17:46:57.438 | INFO     | __main__:handle:60 - 用户(id)：bell_941(2141838381)|查询命令：redis-cli ng 0 get ngadmin_ThirdRuntime:get_bill_replenish:PG
2022-11-02 17:46:58.564 | INFO     | __main__:handle:60 - 用户(id)：bell_941(2141838381)|查询命令：redis-cli ng 0 get ngadmin_ThirdRuntime:get_bill_replenish:PG
2022-11-02 17:46:59.644 | INFO     | __main__:handle:60 - 用户(id)：bell_941(2141838381)|查询命令：redis-cli ng 0 get ngadmin_ThirdRuntime:get_bill_replenish:PG
2022-11-02 17:47:00.713 | INFO     | __main__:handle:60 - 用户(id)：bell_941(2141838381)|查询命令：redis-cli ng 0 get ngadmin_ThirdRuntime:get_bill_replenish:PG
2022-11-02 17:47:01.777 | INFO     | __main__:handle:60 - 用户(id)：bell_941(2141838381)|查询命令：redis-cli ng 0 get ngadmin_ThirdRuntime:get_bill_replenish:PG
2022-11-02 17:47:02.966 | INFO     | __main__:handle:60 - 用户(id)：bell_941(2141838381)|查询命令：redis-cli ng 0 get ngadmin_ThirdRuntime:get_bill_replenish:PG
2022-11-02 17:47:04.125 | INFO     | __main__:handle:60 - 用户(id)：bell_941(2141838381)|查询命令：redis-cli ng 0 get ngadmin_ThirdRuntime:get_bill_replenish:PG
